date,open,high,low,close,volume
2022-02-11 18:00:00,132.62,132.62,132.62,132.62,140
2022-02-11 17:00:00,132.69,132.7,132.25,132.55,67750
2022-02-11 16:00:00,133.07,133.29,132.38,132.63,837685
2022-02-11 15:00:00,132.82,133.2278,132.46,133.07,701771
2022-02-11 14:00:00,133.74,133.9504,132.57,132.82,393318
2022-02-11 13:00:00,133.94,133.95,133.53,133.73,182264
2022-02-11 12:00:00,134.33,134.5078,133.68,133.95,260414
2022-02-11 11:00:00,134.43,134.61,134.02,134.32,385592
2022-02-11 10:00:00,133.5,134.7099,133.26,134.41,597129
2022-02-11 09:00:00,133.35,133.64,133.3,133.64,139896
2022-02-11 08:00:00,133.3,133.3,133.29,133.29,455
2022-02-10 20:00:00,133.15,133.49,133.06,133.06,1756
2022-02-10 19:00:00,133.55,133.59,133.48,133.48,6793
2022-02-10 18:00:00,133.5,133.51,133.26,133.51,1702
2022-02-10 17:00:00,133.52,133.94,133.25,133.25,73367
2022-02-10 16:00:00,133.32,134.13,133.17,133.54,1347943
2022-02-10 15:00:00,134.11,134.41,133.19,133.3,692551
2022-02-10 14:00:00,134.48,134.99,133.8,134.08,899314
2022-02-10 13:00:00,135.5,135.74,134.38,134.465,500414
2022-02-10 12:00:00,135.99,136.01,135.41,135.515,483430
2022-02-10 11:00:00,136.07,136.56,135.61,136.0,544771
2022-02-10 10:00:00,135.45,136.32,134.74,136.12,647352
2022-02-10 09:00:00,136.0801,136.2,135.4,135.45,14558
2022-02-10 08:00:00,136.25,136.25,136.15,136.25,2702
2022-02-10 05:00:00,136.28,136.5,136.26,136.4,1283
2022-02-09 20:00:00,137.8,137.83,137.79,137.79,2246
2022-02-09 19:00:00,137.83,137.85,137.75,137.83,2120
2022-02-09 18:00:00,137.88,137.89,137.83,137.89,450
2022-02-09 17:00:00,137.79,137.89,137.79,137.88,94061
2022-02-09 16:00:00,137.7,137.91,137.45,137.82,941995
2022-02-09 15:00:00,137.63,137.97,137.565,137.71,1457883
2022-02-09 14:00:00,137.44,137.76,137.3909,137.64,301405
2022-02-09 13:00:00,137.54,137.705,137.34,137.44,325103
2022-02-09 12:00:00,137.87,137.9,137.15,137.56,549633
2022-02-09 11:00:00,138.15,138.2593,137.4518,137.9,714138
2022-02-09 10:00:00,137.89,138.35,136.83,138.175,435516
2022-02-09 09:00:00,137.7999,137.89,137.7101,137.85,5257
2022-02-09 08:00:00,137.81,137.81,137.81,137.81,426
2022-02-09 06:00:00,137.48,137.48,137.48,137.48,325
2022-02-09 05:00:00,140.0,140.0,137.48,137.48,611
2022-02-08 20:00:00,137.29,137.29,137.29,137.29,200
2022-02-08 19:00:00,137.17,137.17,137.17,137.17,100
2022-02-08 17:00:00,137.02,137.3,137.0,137.29,841897
2022-02-08 16:00:00,136.43,137.27,136.34,137.02,718728
2022-02-08 15:00:00,136.98,137.06,136.3399,136.44,437811
2022-02-08 14:00:00,136.85,137.045,136.69,137.0,282075
2022-02-08 13:00:00,137.1,137.14,136.71,136.85,243194
2022-02-08 12:00:00,136.37,137.21,136.3571,137.08,325862
2022-02-08 11:00:00,136.49,136.92,136.1,136.37,413030
2022-02-08 10:00:00,137.31,137.59,135.78,136.46,528987
2022-02-08 09:00:00,137.17,137.48,137.17,137.48,1501
2022-02-08 08:00:00,137.22,137.22,137.22,137.22,232
2022-02-08 06:00:00,137.14,137.14,137.14,137.14,178
2022-02-07 20:00:00,137.39,137.39,137.39,137.39,108
2022-02-07 18:00:00,137.24,137.59,137.24,137.58,1896
2022-02-07 17:00:00,137.24,137.7,137.24,137.36,41268
2022-02-07 16:00:00,137.67,137.81,137.04,137.24,673919
2022-02-07 15:00:00,137.648,137.82,137.37,137.68,384529
2022-02-07 14:00:00,137.4,137.68,137.2,137.635,302662
2022-02-07 13:00:00,137.735,137.79,137.18,137.38,271502
2022-02-07 12:00:00,136.96,137.78,136.81,137.74,378373
2022-02-07 11:00:00,136.73,137.335,136.49,137.0,376315
2022-02-07 10:00:00,137.34,137.8223,136.27,136.73,429638
2022-02-07 09:00:00,137.5,137.5,137.37,137.37,418
2022-02-07 08:00:00,137.49,137.5,137.49,137.5,600
2022-02-07 05:00:00,136.71,136.71,135.19,135.19,607
2022-02-04 20:00:00,137.35,137.35,137.35,137.35,150
2022-02-04 19:00:00,137.15,137.2,137.15,137.2,2287
2022-02-04 18:00:00,137.03,137.03,136.93,136.93,1063
2022-02-04 17:00:00,137.15,137.31,137.13,137.3,98256
2022-02-04 16:00:00,137.76,138.18,137.12,137.13,977033
2022-02-04 15:00:00,137.7,137.89,137.4279,137.765,399364
2022-02-04 14:00:00,137.47,137.91,137.46,137.682,350939
2022-02-04 13:00:00,136.99,137.85,136.915,137.46,302914
2022-02-04 12:00:00,136.4,137.3,136.215,137.01,521767
2022-02-04 11:00:00,138.05,138.13,136.4,136.42,596542
2022-02-04 10:00:00,137.01,138.82,136.8,138.08,447940
2022-02-04 09:00:00,137.26,137.69,136.81,137.25,3949
2022-02-04 08:00:00,137.06,137.06,136.88,137.0,1965
2022-02-04 07:00:00,137.17,137.27,136.51,137.08,866
2022-02-04 06:00:00,138.02,138.02,137.2,137.27,1478
2022-02-03 19:00:00,138.03,138.03,138.03,138.03,144
2022-02-03 18:00:00,138.3,138.4,137.78,138.4,112943
2022-02-03 17:00:00,137.78,138.4,137.78,138.38,84273
2022-02-03 16:00:00,138.06,138.41,137.51,137.79,1344095
2022-02-03 15:00:00,138.12,138.76,137.92,138.0302,1263930
2022-02-03 14:00:00,137.3491,138.1925,137.055,138.1246,714841
2022-02-03 13:00:00,136.74,137.385,136.625,137.33,404577
2022-02-03 12:00:00,137.095,137.43,136.7,136.72,628473
2022-02-03 11:00:00,136.61,137.28,136.15,137.1097,587079
2022-02-03 10:00:00,136.09,137.56,135.831,136.63,577984
2022-02-03 09:00:00,136.7,136.73,136.18,136.3,6211
2022-02-03 07:00:00,136.31,136.31,136.31,136.31,187
2022-02-03 06:00:00,136.31,136.31,136.3,136.3,366
2022-02-02 20:00:00,136.57,136.57,136.4,136.4,461
2022-02-02 19:00:00,136.99,137.0,136.7,136.7,978
2022-02-02 18:00:00,136.47,137.25,136.47,136.56,22116
2022-02-02 17:00:00,137.25,137.58,136.75,136.75,364211
2022-02-02 16:00:00,136.881,137.555,136.78,137.24,1384534
2022-02-02 15:00:00,136.4339,137.01,136.28,136.88,457769
2022-02-02 14:00:00,136.06,136.54,135.8108,136.42,415548
2022-02-02 13:00:00,135.9501,136.37,135.896,136.06,309502
